param_subsample,param_n_estimators,param_min_samples_leaf,param_max_depth,param_learning_rate,cv_rmse_mean,cv_rmse_std,cv_mae_mean,cv_mae_std
1.0,400,8,4,0.1,79.99194445591793,26.154497256727858,69.8536570291684,26.7795528205051
0.6,400,1,2,0.05,88.87621962284622,47.79990538203545,77.46296576753143,43.55457825971575
1.0,200,2,2,0.1,90.82553637836472,40.73413993446032,78.33375160508099,36.913990813071656
0.6,800,2,3,0.01,90.8685447317527,48.94398145990207,79.77492619478123,45.33566049008101
0.6,400,1,4,0.03,91.17855131788414,50.27109204622651,79.24994569130236,46.63044332322847
0.8,800,8,2,0.05,91.23040414911159,38.616598227832334,77.57520727424222,35.50149124958157
1.0,800,2,2,0.01,92.26335502886873,43.17623287770655,80.46172091734347,39.94704560271082
0.8,400,8,5,0.1,92.39352141897646,35.18375676959986,78.50716191608993,33.09976137334906
0.6,100,1,2,0.05,92.39673565014715,47.96120340654282,80.81357912955869,44.48133848497932
0.8,100,8,5,0.1,93.24587517342763,37.81250632189393,79.20006510590201,36.21508176797808
0.8,800,8,4,0.01,94.12632464206179,40.52100370754907,79.6601698136049,39.64499335562869
0.6,800,2,5,0.005,94.12817296764935,46.95514405218097,83.61277690959221,45.789734677381794
0.6,100,1,5,0.05,94.23493067217905,45.76508607291328,82.64271774868014,42.97075231162272
0.8,800,2,3,0.005,94.57181603486734,43.14673489900328,83.2645653656178,42.08024671941567
1.0,100,2,4,0.1,94.96370619328503,44.33735723500534,84.71629665259624,45.421554222587496
1.0,100,4,2,0.05,95.25735919425368,40.50308982773786,84.09362896754749,38.98339037878819
1.0,800,1,4,0.005,95.75711025008744,39.511637033507355,84.28051567155107,39.670718969248924
0.6,400,1,5,0.01,96.63414320350648,47.7121414660402,85.3818581913775,45.647779060524286
1.0,400,2,3,0.1,97.47380584811808,38.43231296850466,83.51110173301488,37.75803686342121
1.0,100,2,3,0.1,97.55066476043154,38.413732270648445,83.60972286687888,37.75542665463198
0.8,200,2,5,0.05,99.54291688146832,44.56366441067408,87.10508659799675,42.69228472536015
1.0,100,2,5,0.03,99.7975575091329,42.61059684901656,88.96179730764041,44.189831311490174
1.0,800,2,2,0.005,99.99449282234238,44.566227740952,88.4309262887728,41.94071808231338
1.0,200,4,4,0.1,100.42748493851508,37.95193452565373,87.33935288827489,36.3130184164908
1.0,400,4,3,0.03,101.53933124598719,45.7573320533772,88.59882606033374,44.27350987321694
1.0,800,1,5,0.1,101.59495582778187,54.06647388890506,89.01413476914631,53.653627991941924
1.0,800,1,3,0.005,102.14955421533348,46.200885113525565,89.60302445991688,44.8586567986238
0.8,200,1,5,0.1,102.94502654880037,42.960457741990076,90.05523341019227,42.1803991560918
0.8,100,1,5,0.1,102.94716823336834,42.961000037515355,90.05956587657981,42.18185348544273
0.8,200,4,4,0.01,103.69172201838714,42.9691329736975,93.83839434890254,44.18327492567452
0.6,400,4,2,0.005,104.51319053487262,43.040217084195625,94.88467295449644,44.380962099391965
0.6,100,8,4,0.05,105.96531752790744,63.04436210148141,97.24768052312965,63.301672771997104
0.8,400,2,3,0.005,106.59732981484669,40.969941387312396,95.79652414547442,42.84552361620154
0.6,800,8,3,0.03,114.29378990505806,66.5333227216913,105.36769744944085,65.43547469923749
0.6,200,8,2,0.01,115.56853605537844,61.59220974079978,106.93862338015647,62.53770514156202
1.0,100,2,5,0.01,123.33936463782193,48.38052770506225,110.21985565127184,52.05045817281281
1.0,100,4,2,0.01,126.55944576076315,42.921577865426926,114.35319349392894,46.734024390409125
1.0,100,8,3,0.005,136.7822112473807,47.5535021448458,124.47075940846044,51.88158457622018
0.6,100,4,5,0.005,139.50284434521282,48.5134086391151,128.36086774995607,52.92022150133995
0.6,100,4,4,0.005,139.559015918684,48.819195321479285,128.54217632950233,53.05713433582985
